iso,glottocode,name,family,family_code,classification,macroarea,countries,dialects,names,med,aes,refs,likely_script
eja,ejam1238,Ejamat,Atlantic-Congo,atla1278,Atlantic-Congo > North-Central Atlantic > Central Atlantic > Bak > Joola-Manjaku > Jola > FH-Jola > PF-Jola > Her-Ejamat,Africa,GW;SN,,Ediamat|Eyamat|Feloup|Felup|Felupe|Floup|Flup|Fulup,long grammar,threatened,13,Latin
eka,ekaj1238,Ekajuk,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Ekoid-Mbe > Ekoid > Bakor-Ejagham > Bakor > Northern Bakor > Nnam-Ekajuk,Africa,NG,,Akajo|Akajuk|ekajuk,grammar sketch,not endangered,13,Latin
eke,ekit1246,Ekit,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Delta Cross > Lower Cross > Nuclear Lower Cross > Central Lower Cross > Ekit-Etebi,Africa,NG,,Eket|Ekid,Wordlist or less,threatened,11,Latin
ekg,ekar1243,Ekari,Nuclear Trans New Guinea,nucl1709,Nuclear Trans New Guinea > Paniai Lakes > Mee-Wodani,Papunesia,ID,Mapiya-Kegata|Mee|Simori|Yabi,Ekagi|Ekari language|Kapauku|Kaupaku|Me Mana|Mee Mana|Tapiro,grammar,not endangered,64,Latin
eki,ekii1241,Eki,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Delta Cross > Lower Cross > Nuclear Lower Cross > Central Lower Cross > Efikic > Unclassified Efikic,Africa,NG,,,Wordlist or less,not endangered,2,Latin
ekk,esto1258,Estonian,Uralic,ural1272,Uralic > Finnic > Coastal Finnic > Neva > Central Finnic,Eurasia,EE;LV;RU,Ida Estonian|Kesk Estonian|Lääne|Middle Estonian|North Estonian|Saarte,estonien,long grammar,not endangered,292,
ekl,kolb1241,Kol (Bangladesh),Austroasiatic,aust1305,Austroasiatic > Mundaic > North Munda > Kherwarian > Santalic,Eurasia,BD,,,Wordlist or less,not endangered,2,Latin
ekm,elip1238,Elip,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > Mbam-Bubi > Mbam > Nuclear Mbam > Bati-Mbure-Yambassa > Mbure-Yambassa > Yambassa (A.60) > Mmala-Elip-Gunu > Elip-Gunu,Africa,CM,Nukanya|Nulamba|Nuyambassa,Belibi|Belip|Libie|Nuasue|Nulibie,grammar sketch,not endangered,19,Latin
eko,koti1238,Koti,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > East Bantu > North Mozambique Bantu > Koti-Nathembo,Africa,MZ,Ekoti|Enatthembo,Angoche|Angoxe|Bahasa Ekoti|Coti|Ekoti|Koti language,grammar,not endangered,28,Latin
ekp,ekpe1253,Ekpeye,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Igboid,Africa,NG,Ako (Atlantic-Congo)|Igbuduya|Ubye|Upata,Ekkpahia|Ekpabya|Ekpaffia,long grammar,not endangered,15,Latin
ekr,yace1238,Yace,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Idomoid > Yatye-Akpa,Africa,NG,Alifokpa|Ijiegu,Ekpari|Iyace|Yache|Yatye,phonology/text,not endangered,4,Latin
eky,east2342,Eastern Kayah,Sino-Tibetan,sino1245,Sino-Tibetan > Karenic > Central Karen > Kayah-Yintale > Kayah,Eurasia,MM;TH,,"E Kayah|Eastern|Eastern Kayah Li|Karen (Red)|Karenni|Karennyi|Kaya|Kayah|Kayah Li|Kayah Li (Eastern)|Kayah, Eastern|Kayah,Eastern",long grammar,not endangered,16,Kayah Li
ele,elep1240,Elepi,Nuclear Torricelli,nucl1708,Nuclear Torricelli > Marienberg > Elepi-Kamasau-Marienberg,Papunesia,PG,,Blabla|Elapi|Samap|Sumup,Wordlist or less,shifting,6,Latin
elh,elhu1238,El Hugeirat,Nubian,nubi1251,Nubian > Central Nubian > Kordofan Nubian > Western Kordofan Nubian,Africa,SD,,El Hagarat|El hugeirat|Nubian (Hill),phonology/text,moribund,6,
eli,ndin1245,Nding,Narrow Talodi,narr1279,Narrow Talodi > Buram-Saraf > Nding-Tasomi,Africa,SD,,Eliri,grammar sketch,shifting,13,
elk,elke1240,Elkei,Nuclear Torricelli,nucl1708,Nuclear Torricelli > Wapei-Palei > Central Torricelli > Wapeic > Au-Olo-Elkei > Olo-Elkei,Papunesia,PG,,Olkoi,Wordlist or less,shifting,6,Latin
ell,mode1248,Modern Greek,Indo-European,indo1319,Indo-European > Classical Indo-European > Graeco-Phrygian > Greek > South Greek > Central Greek > Koineic Greek > Modern Koineic Greek > Nuclear Modern Greek,Eurasia,AL;BG;CY;EG;GR;IT;MK;RO;TR;UA,Aegina Greek|Agathonisian|Arkadian Modern Greek|Astypalaian|Athens|Cargese|Central Cycladian|Chalkian|Chiot|Constantinople Greek|Corfiot|Cretan|Cretan-Cycladian|Cycladian|Dimotiki|Dodecanese|Eastern Cretan|Eastern Thracian|Epirote|Fanari Greek (Karditsa)|Himariote Greek|Imbriot|Ionian Islands|Ionian-Peloponnesian-Attic|Ithaca Modern Greek|Kalymnian|Karpathos Greek|Kasos Greek|Kastellorizan|Katharevousa|Kefalonia Modern Greek|Kos Greek|Kozani Greek|Krania Greek (Olympus)|Kytherian|Laconian Modern Greek|Lefkada Modern Greek|Leipsoi Greek|Leros Greek|Lesbian Modern Greek|Livisiot|Macedonian Greek|Maniot Greek|Maniot-Cargese Greek|Mariupol Greek|Megara Greek|Naousa Greek|Nisyrian|North Aegean|Northern Cycladian|Northern Epirote|Northern Greek|Patmian|Paxi Modern Greek|Peloponnesian|Rhodian Greek|Rumelian Modern Greek|Samiot|Saracatsan|Skyrian|Smyrna Greek|Southern Euboea|Southern Greek|Symian|Thessalian|Thracian Greek|Tilos Greek|Western Cretan|Western Cycladian|Western Thracian|Zakynthos Modern Greek,"Ellinika|Graecae|Grec|Grec de Marioupol|Grec modern|Grec moderne|Greco|Greek|Greek (Cypriot)|Greek (Modern)|Greek, Modern (1453-)|Grego moderno",long grammar,not endangered,1622,
elm,elem1253,Eleme,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Delta Cross > Ogonoid > West Ogonoid,Africa,NG,,Nigeria,long grammar,not endangered,9,Latin
elo,elmo1238,El Molo,Afro-Asiatic,afro1255,Afro-Asiatic > Cushitic > East Cushitic > Lowland East Cushitic > Southern Lowland East Cushitic > Mainstream Lowland East Cushitic > Omo-Tana > Western Omo-Tana,Africa,KE,,"""Ndorobo""|Dehes|El Molo hizkuntza|El Molo language|Elmolo|Emolo|Fura-Pawa|Ldes|Lenga El Molo",grammar sketch,extinct,35,Latin
elp,elpa1240,Elpaputih,Bookkeeping,book1242,Bookkeeping,Papunesia,ID,,Elpaputi,Wordlist or less,,1,
elu,eluu1241,Elu,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Admiralty Islands > Eastern Admiralty Islands > Manus > East Manus > Kurti-Kele-Ere > Kurti-Elu,Papunesia,PG,,Admiralitäts-inseln,phonology/text,shifting,4,Latin
elx,elam1244,Elamite,isolate,,,Eurasia,IR,,Elama lingvo|Elamin kieli|Elamische Sprache|Elamita|Elamite language|Elamiteg|Elamitic|Elamitisch|Elamitiska|Elamittisk|Elamski jezik|Idioma elamita,grammar sketch,extinct,25,
ema,emai1241,Emai-Iuleha-Ora,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Akpes-Edoid > Edoid > North-Central Edoid > Central Plains Edoid > Emaic,Africa,NG,Emai|Iuleha|Ivhimion|Ora,Emai|Ivbiosakon|Kunibum|Ora (in Nigeria),long grammar,not endangered,66,Latin
emb,emba1238,Embaloh,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Greater South Sulawesi > South Sulawesi > Tamanic-Bugis > Tamanic,Papunesia,ID,Kalis,Dayak|Malo|Maloh|Matoh|Mbaloh|Memaloh|Palin|Pari|Sangau|Sanggau,phonology/text,threatened,9,Latin
eme,emer1243,Teko,Tupian,tupi1275,Tupian > Eastern Tupian > Maweti-Guarani > Aweti-Guarani > Tupi-Guarani > Tupi-Guarani Subgroup VIII > Wayampi-Zoe-Emerillon > Zoe-Emerillon,South America,GF,,Emerenhão|Emereñon|Emerillon|Emerillon language|Emerilon|Emérillon|Guaiapi|Guayapi|Karipuna|Melejo|Mereo|Mereyo,long grammar,shifting,45,Latin
emg,east2357,Eastern Mewahang,Sino-Tibetan,sino1245,Sino-Tibetan > Himalayish > Mahakiranti > Kiranti > Eastern Kiranti > Upper Arun > Mewahang,Eurasia,NP,Dibum|Mulgaon-Wangtang|Sunsari,"Eastern|Eastern Meohang|Jindā|Meohang|Meohang, Eastern|Meohang,Eastern|Mewahang|Newahang|Newahang Jimi|Newang|Newange Rai|Rai",grammar sketch,moribund,6,Devanagari
emi,muss1246,Mussau-Emira,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > St. Matthias,Papunesia,PG,Eastern Mussau|Emira|Mussau|Southern Mussau|Western Mussau,Emira|Emira-Mussau|Musao|Musau-Emira|Mussau|Mussau-Emira language|Mussau-emira,grammar,shifting,55,Latin
emk,east2426,Eastern Maninkakan,Mande,mand1469,Mande > Western Mande > Manding-Kpelle > Central Mande > Manding-Jogo > Manding-Vai > Manding-Mokole > Manding > East Manding > Manenkan,Africa,CI;GN;LR;ML;SL,Amana|Bö|Koulounkalan|Wasulu,"Eastern|Eastern Malinke|Kankan Maninka|Madingo|Mande|Mandingo|Maninka|Maninka-Mori|Maninkakan|Maninkakan, Eastern|Southern Maninka",long grammar,not endangered,87,
emn,eman1238,Eman,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Tivoid > Central Tivoid > Central Tivoid B,Africa,CM,Amanavil|Amayo,Emane|Emán,Wordlist or less,shifting,3,Latin
emo,emok1238,Emok,Bookkeeping,book1242,Bookkeeping,South America,PY,,Cabanatith|Enenlhet|Machicui|Mascoi|Mascoy|Maskoi|Paraguayan Toba|Quilyilhrayrom|Toba|Toba of Paraguay|Toba-Emok|Toba-Maskoy,Wordlist or less,extinct,2,
emp,nort2972,Northern Emberá,Chocoan,choc1280,Chocoan > Embera > Atrato > Panama-Baudo-Atrato,South America,CO;PA,,Andagueda|Atrato|Choco|Cholo|Darien|Darien Embera|Dariena|Darién|Ebera Bedea|Eberã|Eberã Bed'ea|Eberã Bed’ea,grammar,threatened,135,Latin
emq,east2351,Eastern Muya,Sino-Tibetan,sino1245,Sino-Tibetan > Burmo-Qiangic > Na-Qiangic > Qiangic > Muya,Eurasia,CN,,,long grammar,threatened,6,
ems,paci1278,Pacific Gulf Yupik,Eskimo-Aleut,eski1264,Eskimo-Aleut > Eskimo > Yupik,North America,US,Chugach|Koniag,"""Aleut""|""Eskimo""|Aleut|Alutiiq|Alutiiq language|Chugach ""Eskimo""|Idioma alutiiq|Koniag-Chugach|Koniaq|Língua alutiiq|Pacific Yupik|South Alaska ""Eskimo""",long grammar,moribund,235,Latin
emu,east2340,Eastern Muria,Dravidian,drav1251,Dravidian > South Dravidian > South Dravidian II > Gondi > Northwest Gondi > Southwest Gondi > Muria,Eurasia,IN,Lanjoda|Raigarh,"Gonḍi|Gōṇḍī|Muria, Eastern",Wordlist or less,not endangered,4,Devanagari
emw,empl1237,Emplawas,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Timor-Babar > Southwest Maluku > Babar > South Babar > Southwest Babar,Papunesia,ID,,Emplavas,phonology/text,shifting,5,Latin
emx,erro1240,Erromintxela,Speech Register,spee1234,Speech Register > Basque-Romani,Eurasia,FR,,,grammar sketch,moribund,5,Latin
emy,epig1241,Epigraphic Mayan,Mayan,maya1287,Mayan > Core Mayan > Western Mayan > Cholan-Tzeltalan > Cholan,North America,MX,,,long grammar,extinct,7,
emz,mbes1239,Mbessa,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Wide Grassfields > Narrow Grassfields > Ring > Center-West Ring > Center Ring > Komic,Africa,CM,,,Wordlist or less,not endangered,4,Latin
ena,apal1256,Apali,Nuclear Trans New Guinea,nucl1709,Nuclear Trans New Guinea > Madang > Kalamic-South Adelbert > South Adelbert > Sogeram > Apalic,Papunesia,PG,Aci|Aki,Apal|Emerum,phonology/text,shifting,9,Latin
enb,mark1255,Markweeta,Nilotic,nilo1247,Nilotic > Southern Nilotic > Kalenjin > Northern Kalenjin,Africa,KE,Almoo|Endo|Markweta-Chesongoch|Northeast Marakwet|Sambirir|Sengwer,Endo|Endo-Marakwet|Marakuet|Marakwet|Markweta|Talai,long grammar,shifting,30,Latin
enc,ennn1243,En,Tai-Kadai,taik1256,Tai-Kadai > Kadaic > Eastern Kra > Buyang > Northern Buyang,Eurasia,CN;VN,,Ain|Nung Ven|儂環語|恩語,grammar sketch,shifting,26,Latin
end,ende1246,Ende,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Bima-Lembata > Flores > West-Central Flores > Central Flores-Paluqe > Central Flores > Eastern Central Flores > Ende-Lio,Papunesia,ID,Maukauro|Nangapanda,Endeh,phonology/text,not endangered,7,Latin
enf,fore1265,Forest Enets,Uralic,ural1272,Uralic > Samoyedic > Enets-Nenets > Enets,Eurasia,RU,,"Bai Enets|Baicha-Dialekt|Bay Enets|Enec|Enets|Enets des forêts|Enets, Forest|Enzisch|Eńeć|Jenisei|Jenisej-Samojedisch|Jenissei-Dialekt",long grammar,moribund,44,Cyrillic
eng,stan1293,English,Indo-European,indo1319,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Anglo-Frisian > Anglic > Later Anglic > Middle-Modern English > Macro-English,Africa;Eurasia;South America,AU;BM;BR;BZ;CA;CC;CK;CU;CX;DO;FK;GB;GG;GI;GP;GS;GT;GY;HN;IE;IM;IO;JE;KY;LR;MX;NF;PN;SH;SR;UM;US;VE;ZA,Acrolectal Fiji English|African American Vernacular English|American Inland South English|Appalachian English|Atlantic Provinces English|Australian English|Australian Vernacular English|Australic English|Bahamian English|Berkshire|Black South African English|Boston English|Cameroon English|Canadian English|Cape Flats English|Central English|Central-East Southeastern English|Channel Islands English|Charleston English|Chicano English|Cincinnati English|Devon|Dorset-Somerset|Earlier African American Vernacular English|East Cornwall|East Cornwall-Devon|Eastern Central English|Eastern Counties Southeastern English|Eastern New England English|Eastern Southwestern English|Essex|Falkland Islands English|Fiji English|Florida English|Ghanaian English|Hong Kong English|Indian English|Indian South African English|Inland North English|Irish English|Jamaican English|Kent-Surrey|Kenyan English|Lancashire English|Leicestershire English|Liberian Settler English|Lincolnshire English|Lower Northern English|Lower Southeastern Southwestern English|Lumbee English|Malaysian English|Maltese English|Manx English|Mid-Atlantic American English|Mid-South Welsh English|Midland American English|New Mexican English|New York City English|New Zealand English|Newfoundland English|Nigerian English|North American English|North Central American English|North-West Irish English|North-West Welsh English|Northamptonshire-Cambridgeshire|Northern Canadian English|Northern English|Northern North American English|Northern Southwestern English|Northumberland English|Nuclear Western American English|Ozark English|Pakistani English|Palmerston Island English|Philippine English|Providence English|Pure Fiji English|Rural African American Vernacular English|Singlish|South Yorkshire English|South-Central English|South-West Irish English|Southeast American English|Southeastern English|Southeastern Southwestern English|Southern African English|Southern American English|Southern Canadian English|Southern English|Southern Irish English|Southwestern English|Sri Lankan English|St. Helena English|St. Louis Corridor English|St. Louis English|Staffordshire English|Sussex|Tanzanian English|Texas South English|Tristan da Cunha English|Ugandan English|Ulster English|Urban African American Vernacular English|Welsh English|West Irish English|Western American English|Western Central English|Western New England English|Western Pennsylvania English|Western Southwestern English|White South African English|White Zimbabwean English|Wiltshire-Hampshire,Anglais moderne|Englisch|English (Standard Southern British)|Inglese moderno|Inglês moderno|Modern English|Moderna angla lingvo|Moderne engelsk|Modernes Englisch|Nyengelska|anglais|თანამედროვე ინგლისური პერიოდი,long grammar,not endangered,523,
enh,tund1254,Tundra Enets,Uralic,ural1272,Uralic > Samoyedic > Enets-Nenets > Enets,Eurasia,RU,,"Enec|Enets|Enets de la toundra|Enets, Tundra|Enzisch|Eńeć|Jenisei|Jenisej-Samojedisch|Jenissei-Dialekt|Madu|Samojedi|Samojedimanzela",grammar sketch,nearly extinct,21,Cyrillic
enl,nort2971,Enlhet Norte,Lengua-Mascoy,leng1261,Lengua-Mascoy > Lengua,South America,PY,,Eenthlit|Enlhet|Enxet|Lengua|Lengua Norte|Northern Lengua|Pwak|Vowak,grammar,not endangered,16,Latin
enm,midd1317,Middle English,Indo-European,indo1319,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Anglo-Frisian > Anglic > Later Anglic > Middle-Modern English,Eurasia,GB,,"Bahasa Inggris Pertengahan|Engleza mediă|English, Middle (1100-1500)|Inglés medio|Inglês médio|Język średnioangielski|Keskienglanti|Medelengelska|Medio inglese|Mellomengelsk|Meza angla lingvo|Meán-Bhéarla",long grammar,extinct,70,Latin
enn,enge1239,Egene,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Akpes-Edoid > Edoid > Delta Edoid > Degema-Engenni,Africa,NG,Ediro|Inedua|Ogua|Zarama,"Egene, Engene|Engenni|Ngene",grammar,not endangered,29,Latin
eno,engg1245,Enggano,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Sumatran,Papunesia,ID,,Engganese,grammar sketch,shifting,48,Latin
enq,enga1252,Enga,Nuclear Trans New Guinea,nucl1709,Nuclear Trans New Guinea > Enga-Kewa-Huli > Engan,Papunesia,PG,Kaina|Kandepe|Kapona|Laiagam|Lapalama 1|Lapalama 2|Layapo|Mae|Maramuni|Sari|Sau|Tayato|Yandapo,Caga|Tchaga|Tsaga,grammar,not endangered,42,Latin
enr,emum1240,Emumu,Pauwasi,pauw1244,Pauwasi > Eastern Pauwasi,Papunesia,ID,,Emem|Imimkal|Kiamerop,Wordlist or less,shifting,7,Latin
enu,enuu1235,Enu,Sino-Tibetan,sino1245,Sino-Tibetan > Burmo-Qiangic > Lolo-Burmese > Loloish > Hani-Jino > Bisoid-Hanic > Hanic > Bi-Ka,Eurasia,CN,,,long grammar,threatened,5,
env,enwa1246,Enwan (Edo State),Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Akpes-Edoid > Edoid > Northwestern Edoid > Igwic > Ikpeshic,Africa,NG,,Enwan|Enwan (Edu State)|Nigeria,Wordlist or less,not endangered,2,Latin
enw,enwa1245,Enwan (Akwa Ibom State),Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Delta Cross > Lower Cross > Nuclear Lower Cross > West Lower Cross > Oroic > Enwang-Uda,Africa,NG,,"""Oron""|Enwan|Enwang|Oron",Wordlist or less,threatened,4,Latin
enx,sout2989,Enxet Sur,Lengua-Mascoy,leng1261,Lengua-Mascoy > Lengua,South America,PY,,Chánepyeyam|Enhlit|Enlhit|Enlhit Nipiyam|Lengua|Lengua Sur|Southern Lengua,long grammar,not endangered,22,Latin
eot,beti1248,Beti (Côte d'Ivoire),Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Kwa Volta-Congo > Nyo > Potou-Tano > Tano > Western Tano,Africa,CI,,Beti|Beti (Cote d'Ivoire)|Eotile|Metyibo|Éotilé,long grammar,shifting,12,Latin
epi,epie1238,Epie,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Akpes-Edoid > Edoid > Delta Edoid,Africa,NG,Atisa,Epie language|Epie-Atissa,Wordlist or less,not endangered,11,Latin
epo,espe1235,Esperanto,Artificial Language,arti1236,Artificial Language > Esperantic,Eurasia,PL,,Bahasa Esperanto|Eo|Esperanteg|Esperanto leid|Esperanto simi|Esperanto tili|Espéranto|Eszperantó nyelv|Gjuha esperanto|Inesperanto|Kiesperanto|Kiseperanto,long grammar,not endangered,88,
era,erav1242,Eravallan,Dravidian,drav1251,Dravidian > South Dravidian > South Dravidian I > Tamil-Kannada > Tamil-Kota > Tamil-Toda > Tamil-Irula > Tamil-Kodagu > Tamil-Malayalam > Tamiloid > Malasa-Eravallan,Eurasia,IN,,Ambuvilluvedar|Villu Vedan|Vilvedan,grammar sketch,threatened,15,Tamil
erg,siee1239,Sie,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Southern Melanesian > Southern Vanuatu > Erromanga,Papunesia,VU,Nuclear Sie|Potnariven|Yoku,Eromanga|Erramanga|Erromanga|Erromangan|Erromango|Sye,long grammar,not endangered,25,Latin
erh,eruw1238,Eruwa,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Akpes-Edoid > Edoid > Southwestern Edoid,Africa,NG,,Arokwa|Erakwa|Erohwa,phonology/text,moribund,8,Latin
eri,ogea1238,Ogea,Nuclear Trans New Guinea,nucl1709,Nuclear Trans New Guinea > Madang > Rai Coast > Nuru > Erimaic,Papunesia,PG,,Erima|Nuru,grammar sketch,not endangered,61,Latin
erk,sout2856,Nafsan,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > North and Central Vanuatu > Central Vanuatu > Epi-Efate > Efate-Shepherds > Efate > South Efatic,Papunesia,VU,,"Efate, South|Erakor|Fate|South Efate|South Efate language|Southern Efate|Éfaté du Sud",long grammar,not endangered,20,Latin
ero,horp1239,Stau-Dgebshes,Sino-Tibetan,sino1245,Sino-Tibetan > Burmo-Qiangic > Na-Qiangic > Qiangic > Gyalrongic > West Gyalrongic > Nuclear West Gyalrongic > Horpa,Eurasia,CN,Dgebshes|Eastern Geshiza|Geshiza|Phosul|Rtau|Western Geshiza,Bawang|Danba|Daofu|Ergong|Hor|Horpa|Horpa-Shangzhai|Hórsók|Pawang|Western Jiarong|爾龔語|道孚語,long grammar,threatened,68,
err,erre1238,Erre,Giimbiyu,giim1238,Giimbiyu > Urninganggic,Australia,AU,,Ari|Arra|Ere|Erei|Eri|Rereri,grammar sketch,extinct,7,Latin
ers,ersu1241,Ersu,Sino-Tibetan,sino1245,Sino-Tibetan > Burmo-Qiangic > Na-Qiangic > Ersuic,Eurasia,CN,Hanyuan Ersu|Qingshui Ersu|Zeluo Ersu,Duoxu|Erhsu|Ersoueg|Ersu language|ภาษาเอ้อซู|爾蘇語,long grammar,shifting,39,Latin
ert,erit1239,Eritai,Lakes Plain,lake1255,Lakes Plain > Tariku > East Tariku > Eritai-Obokuitai-Biritai,Papunesia,ID,,Aliki|Babiruwa|Babrua|Babruwa|Baburiwa|Barua|Editode Edai|Erai|Eri|Haya,Wordlist or less,threatened,5,Latin
erw,erok1237,Yarikman,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Tanimbar-Bomberai > Nuta,Papunesia,ID,Darembang|Goras,Erokwanas,phonology/text,shifting,9,Latin
ese,esee1248,Ese Ejja,Pano-Tacanan,pano1259,Pano-Tacanan > Tacanan > Takanik-Chamik,South America,BO;PE,Baawaja|Sonene,"""Chama""|Chama|Chama (Tiatinagua)|Chuncho|Ese Eja|Ese Exa|Ese ejja|Ese'eha|Ese'ejja|Ese'jja|Ese-ejja|Eseejja",long grammar,threatened,159,Latin
esg,aher1237,Aheri Gondi,Dravidian,drav1251,Dravidian > South Dravidian > South Dravidian II > Gondi > Northwest Gondi > Southwest Gondi > Southern Gondi > Eastern Gondi,Eurasia,IN,Bhamragarh|Etapally Gondi|Sironcha,Aheri,grammar sketch,not endangered,24,Masaram Gondi
esh,esht1238,Eshtehardi,Indo-European,indo1319,Indo-European > Classical Indo-European > Indo-Iranian > Iranian-Nuristani > Iranian > Central Iranian PBS > Central Iranian PB > Northwestern Iranian > Adharic > Tatic > Southern Tatic > Ramand-Karaj,Eurasia,IR,,Iran,grammar sketch,shifting,7,Arabic
esi,nort2943,North Alaskan Inupiatun,Eskimo-Aleut,eski1264,Eskimo-Aleut > Eskimo > Inuit > Alaskan Inupiaq,North America,CA;US,Kobuk River Inupiatun|Kotzebue Sound Inupiatun|Malimiutun|North Slope Inupiatun,"""Eskimo""|Alaskan Inuit|Alaskan Inupiaq|Bering Strait|Eskimo|Inudiatun|Inuit|Inupiaq|Inupiaq de nord de l'Alaska (North Slope)|Inupiaq du nord de l'Alaska  (Golfe de Kotzebue)|Inupiaq du nord de l'Alaska (Canada)|Inupiat",grammar,moribund,51,Latin
esk,nort2945,Seward Alaska Inupiatun,Eskimo-Aleut,eski1264,Eskimo-Aleut > Eskimo > Inuit > Alaskan Inupiaq,North America,US,Bering Strait Inupiatun|Qawiaraq Inupiatun,"""Eskimo""|Alaskan Inuit|Alaskan Inupiaq|Eskimo|Inuit|Inuit de la Península Seward (estrecho de Norton)|Inupiaq de la péninsule de Seward  (King Island)|Inupiaq de la péninsule de Seward (Grande Diomède)|Inupiaq de la péninsule de Seward (Norton Sound)|Inupiaq de la péninsule de Seward (Petite Diomède)|Inupiat|Inupiatun",grammar,moribund,22,
esl,egyp1238,Egypt Sign Language,Sign Language,sign1238,Sign Language > L1 Sign Language > Arab Sign,Africa,EG,,,phonology/text,not endangered,3,
esm,esum1241,Esuma,Unattested,unat1236,Unattested > Atlantic-Congo (Unattested),Africa,CI,,Essouma,Wordlist or less,extinct,1,Latin
esn,salv1237,Salvadoran Sign Language,Sign Language,sign1238,Sign Language > L1 Sign Language,North America,SV,,El Salvadoran Sign Language|LESSA|Lengua de Señas Salvadoreñas,Wordlist or less,threatened,8,
eso,esto1238,Estonian Sign Language,Sign Language,sign1238,Sign Language > L1 Sign Language > RSLic,Eurasia,EE,,Língua de Sinais da Estónia|Viipekeel,phonology/text,shifting,14,
esq,esse1238,Esselen,isolate,,,North America,US,,Esselen language|Esselenian|Huelel|Idioma esselen|USA|Эсселенский язык,grammar sketch,extinct,22,Latin
ess,cent2128,Central Siberian Yupik,Eskimo-Aleut,eski1264,Eskimo-Aleut > Eskimo > Yupik,Eurasia,RU;US,,"Asiatic Yupik|Bering Strait Yupik|Central Siberian Yupik language|Chaplino|Chaplino-Naukan|Chaplino-Naukanski (East Cape)|Chaplinsk|Chaplinski|Siberian Yup'ik|Siberian Yupik|Siperianjupik|St. Lawrence Island ""Eskimo""",long grammar,shifting,128,Latin
esu,cent2127,Central Alaskan Yupik,Eskimo-Aleut,eski1264,Eskimo-Aleut > Eskimo > Yupik,North America,US,General Central Yup'ik|Hooper Bay-Chevak|Nunivak|Unaliq,Alaskanjupik|Alaskayupik|Aliaskos jupikų kalba|Central Alaskan Yup'ik|Central Alaskan Yup'ik language|Central Yupik|Chevak|Hooper Bay - Chevak Yupik|Hooper Bay-Chevak|Język yupik środkowy|Kuskokwim Eskimo|Norton Sound,long grammar,shifting,80,Latin
esy,eska1234,Eskayan,Artificial Language,arti1236,Artificial Language,Papunesia,PH,,,Wordlist or less,extinct,1,Latin
etb,eteb1238,Etebi,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Delta Cross > Lower Cross > Nuclear Lower Cross > Central Lower Cross > Ekit-Etebi,Africa,NG,,Nigeria,Wordlist or less,threatened,4,Latin
etc,etch1234,Etchemin,Unclassifiable,uncl1493,Unclassifiable,North America,US,,,Wordlist or less,extinct,1,Latin
eth,ethi1238,Ethiopian Sign Language,Sign Language,sign1238,Sign Language > L1 Sign Language > LSFic > ASLic,Africa,ET,Addis Ababa Ethiopian Sign Language|Hosaena Ethiopian Sign Language,,grammar sketch,not endangered,17,
