iso,glottocode,name,family,family_code,classification,macroarea,countries,dialects,names,med,aes,refs,likely_script
taq,tama1365,Tamasheq,Afro-Asiatic,afro1255,Afro-Asiatic > Berber > Tuareg > Southern Tuareg,Africa,BF;ML,Tadghaq|Tadhaq|Timbuktu,"""Tuareg""|Amäšey|Kidal|Kidal Tamasheq|Tamaceq|Tamacheq tahoua|Tamashekin|Tamasheq, Kidal|Tamäšeq|Timbuktu|Tomacheck|Tuareg",long grammar,not endangered,164,Latin
tar,cent2131,Central Tarahumara,Uto-Aztecan,utoa1244,Uto-Aztecan > Southern Uto-Aztecan > Tarahumara-Guarijio > Tarahumaran,North America,MX,,Central|Idioma tarahumara|Raramuri simi|Rocoroibo|Samachique|Samachique Tarahumara|South-western|Southwestern|Tarahumara|Tarahumara (Central)|Tarahumara central|Tarahumara del Centro,long grammar,threatened,102,Latin
tas,tayb1240,Tay Boi,Pidgin,pidg1258,Pidgin > French-based pidgin,Eurasia,VN,,Annamite French|Annamito French|South Vietnam French|Tay Boy|Tây Bồi|Vietnamese Pidgin French,grammar sketch,extinct,82,Latin
tat,tata1255,Tatar,Turkic,turk1311,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Northwest Kipchak > North Kipchak > Bashkiric,Eurasia,AZ;BY;CN;EE;FI;GE;KZ;LT;LV;RU;UA,Astrakhan Tatar|Central Tatar|Kasimov|Kazan Tatar|Tepter Tatar|Ural Tatar|West Tatar,Bahasa Tatar|Baraba|Baraba Tatar|Idioma tártaro|Język tatarski|Kazan|Limba tătară|Lingua Tatarica|Lingua tatara|Língua tártara|Siberisch-Mahumedische Tatarn|Tartar,long grammar,not endangered,139,
tau,uppe1437,Upper Tanana,Athabaskan-Eyak-Tlingit,atha1245,Athabaskan-Eyak-Tlingit > Athabaskan-Eyak > Athabaskan > Central Alaska-Yukon Athabaskan > Tanana-Tutchone > Tananaic > Upper Tananaic,North America,CA;US,Northway|Tetlin,"Haut-tanana (Canada)|Haut-tanana (États-Unis d'Amérique)|Nabesna|Nee'aanegn|Tanana alto (Estados Unidos)|Tanana, Upper|Upper Tanana language",long grammar,nearly extinct,88,Latin
tav,tatu1247,Tatuyo,Tucanoan,tuca1253,Tucanoan > Eastern Tucanoan > Eastern Eastern Tucanoan > Eastern Eastern Tucanoan I > Bara-Tatuyo,South America,CO,,Carapana (Brésil)|Carapana (Colombia)|Carapana (Colombie)|Carapana-Tapuya|Carapano|Juna|Karapano|Karapaná|Mextã|Mochda|Moxdoa|Oa,long grammar,shifting,52,Latin
taw,taii1241,Tai,Nuclear Trans New Guinea,nucl1709,Nuclear Trans New Guinea > Madang > Kalamic-South Adelbert > Kalam-Kobon > Etp-Ti Kalam,Papunesia,PG,,Tay,grammar sketch,not endangered,1,Latin
tax,tamk1242,Tamki,Afro-Asiatic,afro1255,Afro-Asiatic > Chadic > East Chadic > East Chadic B > East Chadic B.3 > Sokoroic > Saba-Sokoro-Tamki,Africa,TD,,Tamki language|Tamkieg|Temki|𐍄𐌰𐌼𐌺𐌾𐌰𐍂𐌰𐌶𐌳𐌰,phonology/text,shifting,4,Latin
tay,atay1247,Atayal,Austronesian,aust1307,Austronesian > Atayalic,Papunesia,CN,Klesan|Matu'aw|Matu'uwal|Northern Atayal|Nuclear Northern Atayal|Nuclear Southern Atayal|Plnagawan|S'uli|Skikun|Southern Atayal|Squliq,Ataiyal|Atayal language|Attayal|Bonotsek|Lingua Atayal|Sediq|Shabogala|Sprache von Formosa|Taijyal|Taiyal|Takonan|Tangao,long grammar,threatened,103,Latin
taz,toch1257,Tocho,Narrow Talodi,narr1279,Narrow Talodi > Buram-Saraf > Acheron-Tocho,Africa,SD,,Tacho|Toicho,phonology/text,shifting,10,Latin
